number,value,state,duration_min,w0_raw,w0,w1_raw,w1,w2_raw,w2,w3_raw,w3,w4_raw,w4,w5_raw,w5,w6_raw,w6
0,0.5770986042218275,COMPLETE,68.29748195,0.8468008575248331,0.1760675311088562,22.648248189516845,4.709042549133301,6.504856968981274,1.3524951934814453,3.0405325392865645,0.6321900486946106,0.24348773534554594,0.05062616989016533,0.24345423962016924,0.050619203597307205,0.13927723945289014,0.02895863726735115
1,0.6340642719257493,COMPLETE,44.65379501666666,13.983740016490973,1.6315582990646362,3.083434817935579,0.35976096987724304,5.675206026988748,0.6621569395065308,0.11245798259119336,0.01312107965350151,25.26878207508456,2.948245048522949,11.536162338241391,1.345986247062683,0.33572967053517927,0.03917139023542404
2,0.7464381338916913,COMPLETE,32.8575808,0.2820996133514491,0.243545800447464,0.28465263577610933,0.24574993550777435,0.567080778137143,0.48957937955856323,1.9947354703074498,1.7221202850341797,1.1748439548007035,1.014281153678894,0.5265139631677751,0.4545566737651825,3.2781876533976155,2.8301665782928467
3,0.7610797032942248,COMPLETE,38.718022516666665,0.22158645374549912,0.11152530461549759,0.5292705365436974,0.2663838863372803,0.8082071885709252,0.40677377581596375,1.3481575603601414,0.6785328388214111,8.81000312907179,4.434108257293701,0.31233177533764295,0.1571977734565735,1.8785426399210623,0.9454776644706726
4,0.5155445017775186,COMPLETE,44.65542093333333,2.934152756500074,0.3821546137332916,0.13033567475147437,0.016975386068224907,3.1986171822035616,0.4165993928909302,0.26448980183927095,0.03444810211658478,0.1449241238991687,0.01887543871998787,22.413234378101137,2.919180154800415,24.65969117210483,3.2117667198181152
5,0.6793384648869986,COMPLETE,47.605734866666666,10.057690178153985,3.7307939529418945,0.5682837558512266,0.21079884469509125,0.17456037635797406,0.06475132703781128,4.953682563497156,1.8375160694122314,1.2311503632415641,0.4566822052001953,0.20058733363444944,0.07440575212240219,1.6850517723339091,0.6250521540641785
6,0.44122165792074336,PRUNED,12.203153733333332,0.12167028814593449,0.03084058314561844,17.88532743297921,4.533514022827148,0.4375517173207359,0.11090916395187378,4.376712630340954,1.1093946695327759,0.5917607170144196,0.1499975472688675,1.9420998251718031,0.492277055978775,2.260828676373495,0.5730674266815186
7,0.7378498353564998,COMPLETE,41.81456305,0.28701652421858187,0.02142372354865074,25.221951700214287,1.882637858390808,8.319514671870786,0.6209920644760132,21.244807336152007,1.5857725143432617,16.466293382966793,1.229090690612793,3.027406546455652,0.2259741723537445,19.21295925538639,1.4341095685958862
8,0.7565446318410105,COMPLETE,65.40719421666667,0.1656558044088478,0.08328370004892349,0.3058252321378967,0.1537540853023529,0.12942956115511214,0.06507090479135513,0.6395620370993671,0.3215407431125641,0.9179114251639459,0.46148133277893066,0.47007207684461266,0.23632943630218506,11.294923622078903,5.678539752960205
9,0.5906962027162193,PRUNED,12.252466966666667,0.7651053666754197,0.12938472628593445,0.49648810171066565,0.0839596539735794,2.2096526145513846,0.3736678957939148,0.22340165853190055,0.03777880221605301,9.708210658008557,1.6417272090911865,0.1529927968516381,0.025872165337204933,27.838036931305016,4.707609176635742
10,0.7391720606900648,COMPLETE,35.89660986666667,0.43267057335679315,0.17033566534519196,0.9642108711406333,0.3795948028564453,0.10405674733348684,0.04096551984548569,1.6066095394991196,0.6324971914291382,14.232209135125233,5.602999210357666,0.2824114474699212,0.11118099093437195,0.1585717206973384,0.06242721527814865
